prompt_id,step,prompt,parent_idx,parent_idxs,feedback,score_ami,score_nca,score_f1,ami_x_nca,true_clusters,predicted_clusters
0,lamarckian,Classify the given customer or assistant statement into the appropriate category label.,,,,0.2213062621080754,0.9719495091164094,0.19047619047619047,0.21509851282033135,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[28. 30. 24.  6. 22. 13. 26. 10. 14.  8. 11. 29. 30. 24. 25. 27.  0. 16.
 10. 10. 20. 19. 21. 18. 17.  1. 12.  2.  3. 23.  5.  7. 15.  9.  4.]"
1,lamarckian,Categorize each interaction based on its intent or action.,,,,0.2906806574032598,0.9478260869565218,0.27586206896551724,0.27551471006048106,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[23. 26. 19.  3.  5. 13. 22. 10. 16.  7.  9. 25. 26. 19. 20. 17. 10. 15.
 10. 10. 12. 21. 14.  6.  0. 27. 10. 11. 24. 18.  1.  4. 15.  8.  2.]"
2,lamarckian,"Based on the inputs and outputs provided, the instruction given was to generate responses for a customer service chat. The responses should be appropriate to the customer's message and should guide the conversation effectively, using specific tags to denote the type of response or action taken.",,,,-0.0039253409650020265,0.9846547314578006,0.0,-0.003865105553774374,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[29. 32. 24.  7. 22. 17. 28. 16. 19. 12. 13. 30. 33. 25. 10. 26.  2. 20.
 15. 15.  0. 27. 21. 11.  3.  5.  4. 14. 31. 23.  1.  8. 18.  9.  6.]"
3,lamarckian,Classify each statement into a relevant category label based on its intent or content.,,,,0.43750446955082795,0.9438127090301004,0.38709677419354843,0.412922278619544,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[21. 24. 18.  6. 11. 12. 20.  8. 13.  3.  4. 22. 24. 18. 19.  1.  8. 14.
  8.  9. 10. 16. 15. 15.  0. 25.  8.  9. 23. 17.  5.  8. 13.  7.  2.]"
4,lamarckian,Please read the following responses and categorize them into a list of actions or intents that they represent.,,,,0.31316986017587617,0.8550724637681159,0.28571428571428575,0.2677829239185028,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[21. 23. 17.  2. 14. 22. 19.  8.  9.  5.  6. 20. 23. 17.  4. 18. 15.  9.
  6. 16. 13. 12. 10. 11.  1.  3.  0.  8. 20. 15.  1.  4.  9.  7. 16.]"
5,lamarckian,"Based on the conversation between a customer and an assistant, identify the intent or action associated with each statement or query.",,,,0.05508290358620086,0.8896321070234114,0.06666666666666667,0.0490035195783593,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[24. 25. 19.  3. 17. 12. 21.  8. 14.  6. 10. 23. 15. 22. 22. 22.  5. 15.
 10. 10. 11. 20. 13.  4.  0. 18.  2.  9. 23. 22.  1.  5. 15.  7. 16.]"
6,lamarckian,"Classify each statement as either ""customer"" or ""assistant"" and provide a corresponding action or response label.",,,,0.10208073021917517,0.8498023715415018,0.10526315789473685,0.08674844662894332,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[20. 21. 16.  3. 15. 12. 18.  9. 14.  6.  7. 20. 19.  4. 19. 19.  8. 14.
  8.  8. 11. 17. 13.  5.  0.  1.  9. 10. 20. 19.  4.  4. 14.  8.  2.]"
7,lamarckian,Categorize the given customer service responses into appropriate action labels.,,,,0.1179113346073554,0.967391304347826,0.10526315789473684,0.1140663997832025,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[ 3. 20. 19.  8. 29. 31. 30. 12. 14.  4.  5. 24. 22. 21. 23.  6.  0.  7.
  1. 13. 27. 28. 26. 26. 25.  9. 12. 14. 17. 16. 15. 18. 11.  2. 10.]"
8,feedback_0,"Classify the given customer or assistant statement into the appropriate intent category. Consider the conversational context and use the following guidelines:

1. **express_gratitude**: Recognize expressions of thanks or appreciation, such as ""Thank you for helping me"" or ""That’s helpful, thanks!""

2. **acknowledge**: Use this for responses that indicate understanding or agreement, including phrases like ""Okay, thanks for checking."" and ""Okay, let me check.""

3. **provide_instructions**: Group statements that offer guidance or steps, such as ""You can reset it by tapping 'Forgot password'"" and ""You can change it in Settings.""

4. **offer_additional_help**: Identify when the assistant explicitly offers further assistance, e.g., ""Is there anything else I can help you with?""

5. **close_conversation**: Use this for messages that signal the end of the dialogue, like ""You’re very welcome!"" and ""Alright, have a good day!""

Ensure you analyze the context to accurately classify each statement, and refer to examples to avoid confusion between similar intents. Consider merging categories if necessary to simplify classification.",0,,,0.15551373807928154,0.5198412698412698,0.10810810810810811,0.08084245908089635,"[18. 21. 15.  5. 13.  3. 16.  9. 11.  7.  4. 20.  2. 15.  8. 17.  0. 12.
  9.  4. 19. 14.  1.  6.  0. 10.  9.  4.]","[0. 0. 0. 0. 4. 0. 4. 2. 3. 1. 1. 0. 0. 0. 0. 4. 0. 4. 2. 1. 4. 0. 4. 4.
 0. 4. 2. 2.]"
9,feedback_0,"Categorize each interaction based on its intent or action with the following guidelines:

1. **Clarify Similar Intents**: Differentiate between similar intents by focusing on subtle differences:
   - ""acknowledge"": Expressions of understanding or receipt (e.g., ""Okay, got it."")
   - ""express_gratitude"": Expressions of thankfulness (e.g., ""Thank you so much!"")

2. **Provide Examples for Disambiguation**: Use examples to distinguish intents:
   - ""Okay, thanks for checking."" (acknowledge)
   - ""That’s helpful, thanks!"" (express_gratitude)

3. **Emphasize Contextual Cues**: Use contextual clues to distinguish intents, especially in assistant messages:
   - ""close_conversation"": When the conversation is ending (e.g., ""Take care!"")
   - ""offer_additional_help"": When further assistance is offered (e.g., ""Is there anything else I can do for you?"")

4. **Reinforce Intent Consistency**: Maintain consistent categorization for similar intents to avoid splits:
   - ""Glad I could help!"" and ""You’re very welcome!"" should consistently be categorized under ""express_gratitude.""

5. **Highlight Specificity in Instructions**: Be specific when categorizing requests or instructions:
   - ""request_order_number"": Specific request for the order number (e.g., ""Can you share the order number with me?"")
   - ""ask_order_number"": General inquiry for the order number (e.g., ""Can you give me your order number?"")

6. **Encourage Flexibility in Interpretation**: Allow flexibility for variations in phrasing to ensure accurate categorization:
   - ""request_order_number"" and ""ask_order_number"" may accommodate slight variations in phrasing while maintaining their distinct categories.

7. **Include Common Closing Phrases**: Group common closing phrases under ""close_conversation"" for consistent classification:
   - Examples include ""Thank you for reaching out!"" and ""Have a great day!""

8. **Provide More Contextual Scenarios**: Expand on typical conversation flows to illustrate how intents may transition or overlap:
   - For example, moving from ""offer_additional_help"" to ""close_conversation"" as the interaction concludes.

9. **Encourage Review and Iteration**: Periodically review and iterate on intent categorization to refine distinctions and improve clustering accuracy over time.",1,,,0.2939549195788959,0.7400860009555663,0.23684210526315785,0.21755192089236017,"[19. 23. 16.  5. 14.  3. 17. 10. 12.  8.  4. 22.  2. 16.  9. 18.  0. 13.
 10.  4. 20. 15.  1.  6.  0. 11. 10.  4. 21. 15.  0.  7. 12.  8.  4.]","[ 1. 12. 11.  1.  5.  7. 10.  6.  8.  4.  4. 10.  3. 10.  1. 10.  1.  8.
  6.  6.  0. 10.  2.  5.  1.  9.  6.  6. 10.  5.  1.  6.  8.  1.  4.]"
