prompt_id,hash,prompt
0,3760540a4b271f99,Categorize each statement into a predefined category label based on its intent or purpose.
1,ed5c7dfd2ca358d2,"Classify each interaction as either a 'customer' request or 'assistant' response, and assign a specific label that describes the purpose or nature of the communication."
2,857d95ff89b18f6d,Categorize each statement based on its intent or purpose.
3,e996f4b1f432d77c,Classify the customer and assistant statements into predefined categories based on their intent.
4,2dcab0e066b64d89,"Classify each statement into one of the following categories: agree_to_try, request_bill_id, accept_solution, close_conversation, express_gratitude, ask_refund_timeline, explain_delay, provide_payment_method, or ask_item_details."
5,9d0cd47b0dcea10a,"### Refined Intent Discovery Prompt

Categorize each statement into one of the predefined category labels based on its intent or purpose. Use the guidelines and examples provided to ensure accurate classification:

1. **Clarify Intent Definitions:**
   - **Confirm Action**: Statements that verify a specific action. E.g., ""Is my order confirmed?""
   - **Confirm Update**: Verifications about updates. E.g., ""Has my address been updated?""

2. **Disambiguation Cues:**
   - **Provide Instructions**: Focus on guiding actions. E.g., ""Please reset your password by clicking on the link.""
   - **Provide Refund Timeline**: Focus on timeline information. E.g., ""You will receive your refund within 5-7 business days.""

3. **Encourage Context Awareness:**
   - Consider the context to differentiate intents. E.g., ""Thank you!"" might be an ""express_gratitude"" unless it is used to conclude a conversation, then it is ""close_conversation.""

4. **Highlight Common False Merges:**
   - Avoid merging distinct intents like ""Provide Promo Code"" (e.g., ""It was SAVE20"") and ""Provide Bill ID"" (e.g., ""Yes, it’s 99420"").

5. **Reduce Over-Splitting:**
   - Recognize shared intents in similar messages. E.g., ""Okay, thanks for letting me know"" and ""Perfect, I’ll try that now"" both fall under ""Acknowledge.""

6. **Provide Examples of Correct Clustering:**
   - Group similar messages correctly. E.g., ""Got it, thanks!"" and ""Understood, thank you!"" both fall under ""Acknowledge.""

7. **Introduce Sub-categories if Necessary:**
   - If needed, break down broad intents like ""Provide Instructions"" into more specific categories.

8. **Incorporate Edge Cases:**
   - For messages fitting multiple intents, prioritize based on context. E.g., if ""Thank you"" follows resolving an issue, it may serve as both gratitude and closure.

9. **Explicitly State Multi-Intent Handling:**
   - For messages conveying multiple intents, identify the primary one. E.g., ""Thanks, goodbye!"" prioritizes ""close_conversation.""

10. **Reinforce Importance of Consistency:**
    - Ensure consistent categorization. E.g., phrases like ""Glad to help!"" and ""Happy to help!"" should consistently fall under ""Close Conversation.""

By following these guidelines, ensure the accurate and consistent clustering of customer service messages into the appropriate intent categories."
6,6680c1d6fc7938b6,"Classify each interaction by first identifying whether it is a 'customer' request or an 'assistant' response. Then, assign a specific label that best describes the intent or purpose of the communication, taking into account the context, subtle differences in expression, and the distinct roles of customer and assistant. Be sure to differentiate between similar phrases based on their intended meaning, and maintain consistency in labeling intents related to closing conversations. Use specific examples to illustrate different intents for similar phrases, and include disambiguation cues for common scenarios that may lead to errors, such as differentiating between expressions of gratitude and acknowledgment, or thanking versus accepting a solution."
7,ca7e8899d58f1914,"Categorize each statement based on its intent or purpose. 

### Guidelines for Categorization:

1. **Express Gratitude**: Use this category for statements that convey thanks or appreciation. For example, ""Okay, thanks for the advice."" and ""Awesome, appreciate the quick fix!""

2. **Close Conversation**: Use this category for statements intended to end a conversation. For example, ""You’re very welcome!"" and ""Glad to help!""

3. **Accept Solution**: Use this category for statements that indicate acceptance or agreement with a proposed solution. For example, ""Yes please, that would be great."" and ""That would be good.""

4. **Report Issue**: Use this category for statements that describe a problem or issue. Consider the specifics of the issue, not just the greeting. For example, ""Hello, my delivery is late."" and ""Hello, one of the items I bought is expired.""

5. **Acknowledge**: Use this category for statements that show understanding or recognition of information. For example, ""Oh, I didn’t realize."" and ""Okay, thanks for letting me know.""

6. **Confirm Refund**: Use this category specifically for statements confirming a refund. For example, ""Refund has been processed.""

7. **Confirm Action**: Use this category for statements that confirm any action has been completed. For example, ""Done. The points are now visible in your balance.""

### Disambiguation Cues:

- **Speaker Role**: Consider who is speaking (customer vs. assistant) to help determine the intent. For example, ""Okay, thanks for letting me know."" from a customer and ""Perfect, I’ll arrange for a new card to be sent to your address."" from an assistant should be categorized differently.

- **Contextual Understanding**: Pay attention to the context behind the statements to determine the correct intent. For example, ""I’m really sorry about that. Can you tell me your order number?"" should be distinct from ""I see. What voucher code are you trying to use?""

Apply these guidelines to ensure accurate and contextually relevant intent categorization."
8,090e8d9e9a2f7dac,"Classify each customer and assistant statement into distinct intent categories based on their purpose. 

1. **Clarify Intent Definitions**:
   - ""close_conversation"": Indicates the conversation is ending.
   - ""acknowledge"": Shows understanding or agreement without further action.
   - ""confirm_action"": Verifies an action has been completed.
   - ""confirm_voucher"": Specific confirmation of adding a voucher.

2. **Examples for Ambiguous Cases**:
   - Separate ""provide_new_address"" from ""provide_order_number"":
     - Example: ""customer: Sure, it’s 12 Maple Street, Springfield."" vs. ""customer: It’s 78342.""

3. **Contextual Cues**:
   - Use context to guide intent, e.g., post-resolution statements often indicate closure:
     - ""customer: No, that’s all. Have a nice day!"" (end_request) vs. ""customer: Okay, thanks for checking."" (acknowledge).

4. **Consistency in Intent Assignment**:
   - Consistently categorize similar phrases, such as variations of ""You’re welcome"" under ""close_conversation"":
     - ""assistant: You’re very welcome! Have a great day."" 

5. **Disambiguate Similar Actions**:
   - Differentiate ""offer_solution"" from ""suggest_alternative"":
     - Example: ""assistant: Sometimes banks decline transactions for security. Could you try again or use PayPal instead?"" (suggest_alternative) vs. ""assistant: Done. The points are now visible in your balance."" (confirm_action).

6. **Instructions for Mixed Intent Statements**:
   - Handle mixed intents by splitting or prioritizing them:
     - Example: ""assistant: Here’s the new code: THANKYOU15. You can use it until next week."" (provide_new_code) vs. ""assistant: I’ll refund the extra charge immediately."" (offer_solution).

7. **Speaker Role Importance**:
   - Distinguish between customer and assistant roles:
     - Example: ""customer: Yes please, that would help."" (accept_help) vs. ""assistant: Happy to help!"" (close_conversation).

By following these guidelines, improve accuracy in classifying and clustering intents, reducing errors like false splits and merges."
9,36e23f63b1b47501,"Classify each statement into one of the following categories: agree_to_try, request_bill_id, accept_solution, close_conversation, express_gratitude, ask_refund_timeline, explain_delay, provide_payment_method, ask_item_details, provide_order_number, provide_receipt_number, describe_issue, request_update_address, offer_additional_help, describe_error_message, suggest_alternative. Differentiate between intents that may appear similar by context or key phrases, and ensure unrelated topics are not falsely merged. Recognize when messages offer direct assistance versus alternative solutions, and use unified intent categories for expressions of gratitude or follow-up offers of help. Consider adding new intent categories if needed to capture nuanced messages."
