conversation_number,conversation,index,intent
0,"customer: Hi, I'm having trouble with my loyalty card.",0,report_problem
0,"assistant: Hello! Sorry to hear that. Can you tell me what exactly is going wrong?",1,ask_clarification
0,"customer: The card isn't being recognized at checkout.",2,describe_issue
0,"assistant: I understand, that must be frustrating. Have you tried rescanning it or adding it to the app?",3,suggest_troubleshooting
0,"customer: Yes, I tried both. Still doesn't work.",4,confirm_attempted_solution
0,"assistant: Thanks for checking that. It’s possible the card is damaged.",5,diagnose_issue
0,"assistant: Would you like me to request a replacement card for you?",6,offer_solution
0,"customer: Yes please, that would be great.",7,accept_solution
0,"assistant: Perfect, I’ll arrange for a new card to be sent to your address. It usually takes 3–5 business days.",8,confirm_action
0,"customer: Awesome, thanks for the quick help!",9,express_gratitude
0,"assistant: You’re very welcome! Have a great day.",10,close_conversation
1,"customer: Hi, I can’t log in to the app anymore.",0,report_login_issue
1,"assistant: Sorry to hear that! Are you getting an error message when you try to log in?",1,ask_error_details
1,"customer: Yes, it says my password is incorrect.",2,describe_error_message
1,"assistant: Understood. Have you already tried resetting your password?",3,suggest_troubleshooting
1,"customer: Not yet, I wasn’t sure if that would help.",4,express_uncertainty
1,"assistant: No worries, resetting usually solves this problem. Would you like me to guide you through it?",5,offer_assistance
1,"customer: Yes please, that would help.",6,accept_help
1,"assistant: Great! Open the app, tap “Forgot password”, and follow the steps. You’ll get an email to set a new password.",7,provide_instructions
1,"customer: Okay, I’ll do that now. Thanks for your support!",8,acknowledge_and_thank
1,"assistant: You’re very welcome! Let me know if you need more help after resetting.",9,offer_followup
2,"customer: Hi, I was charged twice for the same order.",0,report_billing_issue
2,"assistant: I’m really sorry about that! Can you share the order number with me?",1,request_order_number
2,"customer: Yes, it’s 58291.",2,provide_order_number
2,"assistant: Thanks for that. I see two payments for the same order indeed.",3,confirm_issue
2,"assistant: I’ll make sure one of the charges is refunded to your account.",4,offer_solution
2,"customer: Great, how long will the refund take?",5,ask_refund_timeline
2,"assistant: Refunds are usually processed within 3–5 business days.",6,provide_refund_timeline
2,"customer: Okay, that works. Thank you for helping me.",7,express_gratitude
2,"assistant: Of course! Happy to help. Is there anything else I can do for you today?",8,offer_additional_help
2,"customer: No, that’s all. Have a nice day!",9,end_request
2,"assistant: You too! Take care.",10,close_conversation
3,"customer: Hello, I received the wrong product in my delivery.",0,report_wrong_item
3,"assistant: I’m sorry to hear that! Could you tell me which product you received instead?",1,ask_wrong_item_details
3,"customer: I ordered orange juice but got apple juice.",2,provide_wrong_item_details
3,"assistant: Thanks for clarifying. I can arrange a refund or send the correct product. What would you prefer?",3,offer_resolution_options
3,"customer: Please send the correct product.",4,request_replacement
3,"assistant: Done! I’ll schedule a replacement delivery for tomorrow.",5,confirm_replacement
3,"customer: Perfect, thank you.",6,express_gratitude
3,"assistant: You’re very welcome. Is there anything else I can support you with today?",7,offer_additional_help
3,"customer: No, that’s it.",8,end_request
3,"assistant: Great. Have a wonderful day!",9,close_conversation
4,"customer: Hi, I can’t find my receipt in the app.",0,report_missing_receipt
4,"assistant: No problem, I can help. Which order date are you looking for?",1,ask_order_date
4,"customer: From last Friday.",2,provide_order_date
4,"assistant: Thanks! It looks like the receipt is still being processed. It should appear within 24 hours.",3,explain_delay
4,"customer: Okay, good to know.",4,acknowledge
4,"assistant: Would you like me to email you a copy once it’s ready?",5,offer_solution
4,"customer: Yes, that would be great.",6,accept_solution
4,"assistant: Perfect, I’ll make sure you receive it by tomorrow.",7,confirm_action
4,"customer: Thanks a lot!",8,express_gratitude
4,"assistant: You’re welcome! Have a nice day.",9,close_conversation
5,"customer: Hello, I want to update my delivery address.",0,request_update_address
5,"assistant: Of course. Could you provide me with the new address?",1,ask_new_address
5,"customer: Sure, it’s 12 Maple Street, Springfield.",2,provide_new_address
5,"assistant: Got it. Do you want to apply this change just for the next delivery or for all future orders?",3,clarify_scope
5,"customer: Please for all future orders.",4,request_permanent_change
5,"assistant: Done, your profile has been updated.",5,confirm_update
5,"customer: Perfect, thank you for the help.",6,express_gratitude
5,"assistant: Happy to help! Anything else I can do for you today?",7,offer_additional_help
5,"customer: No, that’s everything.",8,end_request
5,"assistant: Great. Have a wonderful day!",9,close_conversation
6,"customer: Hi, the promo code I tried didn’t work.",0,report_promo_issue
6,"assistant: Sorry about that. Can you tell me which promo code you used?",1,ask_promo_code
6,"customer: It was SAVE20.",2,provide_promo_code
6,"assistant: Thanks. That code expired yesterday, which is why it didn’t apply.",3,explain_reason
6,"customer: Oh, I didn’t realize.",4,acknowledge
6,"assistant: No worries. I can give you a new code for 15% off as a goodwill gesture.",5,offer_discount
6,"customer: That would be great, thanks!",6,accept_solution
6,"assistant: Here’s the new code: THANKYOU15. You can use it until next week.",7,provide_new_code
6,"customer: Awesome, I appreciate it.",8,express_gratitude
6,"assistant: My pleasure! Enjoy your shopping.",9,close_conversation
7,"customer: Hello, my delivery is late.",0,report_late_delivery
7,"assistant: I’m really sorry about that. Can you tell me your order number?",1,ask_order_number
7,"customer: It’s 78342.",2,provide_order_number
7,"assistant: Thank you. I see your order is delayed due to traffic but should arrive within the next hour.",3,explain_delay
7,"customer: Okay, thanks for letting me know.",4,acknowledge
7,"assistant: I’ll also apply a free delivery voucher to your account for the inconvenience.",5,offer_compensation
7,"customer: That’s very kind, thank you.",6,express_gratitude
7,"assistant: You’re welcome. I’ll keep tracking your order until it’s delivered.",7,confirm_followup
7,"customer: Appreciate the help!",8,express_gratitude
7,"assistant: Happy to assist! Have a good evening.",9,close_conversation
8,"customer: Hi, I need to cancel my order.",0,request_cancel_order
8,"assistant: I can help with that. Could you share the order number?",1,ask_order_number
8,"customer: Yes, it’s 45911.",2,provide_order_number
8,"assistant: Thanks. The order is still being prepared, so I can cancel it right now.",3,confirm_cancellable
8,"customer: Please go ahead.",4,confirm_action
8,"assistant: Done. Your order has been canceled, and the payment will be refunded within 2–3 days.",5,confirm_refund
8,"customer: Perfect, thanks for the quick help.",6,express_gratitude
8,"assistant: You’re very welcome. Anything else you’d like me to check?",7,offer_additional_help
8,"customer: No, that’s it.",8,end_request
8,"assistant: Alright. Have a nice day!",9,close_conversation
9,"customer: Hello, the app keeps crashing on my phone.",0,report_app_crash
9,"assistant: Sorry to hear that. Which phone model are you using?",1,ask_device_info
9,"customer: It’s an iPhone 12.",2,provide_device_info
9,"assistant: Thanks. Have you updated to the latest version of the app?",3,ask_update_status
9,"customer: Not sure, maybe not.",4,express_uncertainty
9,"assistant: Please try updating the app in the App Store. That usually fixes the issue.",5,suggest_update
9,"customer: Okay, I’ll do that.",6,agree_to_try
9,"assistant: If it still crashes after the update, let us know and we’ll investigate further.",7,offer_followup
9,"customer: Will do, thanks for the help!",8,express_gratitude
9,"assistant: You’re welcome! Have a great day.",9,close_conversation
10,"customer: Hi, I’d like to change my payment method.",0,request_change_payment
10,"assistant: Of course. Which payment method would you like to use instead?",1,ask_new_payment
10,"customer: I want to switch to PayPal.",2,provide_new_payment
10,"assistant: Got it. I’ll update your account to use PayPal for future orders.",3,confirm_update
10,"customer: Great, thanks.",4,express_gratitude
10,"assistant: You’re welcome. Do you also want me to refund the last order to PayPal instead of your card?",5,clarify_preference
10,"customer: Yes, that would be better.",6,confirm_preference
10,"assistant: Okay, refund has been redirected to PayPal. You should see it in 2–3 days.",7,confirm_refund
10,"customer: Awesome, thank you so much.",8,express_gratitude
10,"assistant: My pleasure! Anything else I can support you with?",9,offer_additional_help
10,"customer: No, that’s all.",10,end_request
10,"assistant: Alright, have a great day!",11,close_conversation
11,"customer: Hi, I think I was overcharged on my last bill.",0,report_overcharge
11,"assistant: I’m sorry to hear that. Can you share the bill number or order ID?",1,request_bill_id
11,"customer: Yes, it’s 99420.",2,provide_bill_id
11,"assistant: Thanks. I checked and you were indeed charged twice for delivery.",3,confirm_overcharge
11,"assistant: I’ll refund the extra charge immediately.",4,offer_solution
11,"customer: Great, when will I see the refund?",5,ask_refund_timeline
11,"assistant: Refunds usually show within 2–3 business days.",6,provide_refund_timeline
11,"customer: Okay, thanks for the quick check.",7,express_gratitude
11,"assistant: Happy to help! Have a nice day.",8,close_conversation
12,"customer: Hello, my voucher isn’t applying at checkout.",0,report_voucher_issue
12,"assistant: I see. What voucher code are you trying to use?",1,ask_voucher_code
12,"customer: It’s FREEDELIVERY.",2,provide_voucher_code
12,"assistant: Thanks. That code is only valid for orders above $50. Was your order below that amount?",3,explain_restriction
12,"customer: Yes, my total was $40.",4,confirm_order_amount
12,"assistant: That’s why it didn’t work. Would you like me to issue you a different voucher?",5,offer_solution
12,"customer: Yes, please.",6,accept_solution
12,"assistant: Done! I’ve added a $5 discount voucher to your account instead.",7,confirm_action
12,"customer: Awesome, appreciate the help!",8,express_gratitude
12,"assistant: You’re very welcome.",9,close_conversation
13,"customer: Hi, I need to update my email address.",0,request_update_email
13,"assistant: Sure thing. What’s the new email you’d like to use?",1,ask_new_email
13,"customer: john.doe@example.com.",2,provide_new_email
13,"assistant: Got it. I’ve updated your profile with the new email.",3,confirm_update
13,"customer: Will I still get my receipts and newsletters there?",4,ask_followup
13,"assistant: Yes, all communications will now go to the new address.",5,provide_confirmation
13,"customer: Perfect, thank you.",6,express_gratitude
13,"assistant: Happy to help. Anything else you’d like today?",7,offer_additional_help
13,"customer: No, that’s all.",8,end_request
13,"assistant: Great, enjoy your day!",9,close_conversation
14,"customer: Hello, one of the items I bought is expired.",0,report_expired_item
14,"assistant: Oh no, I’m very sorry about that. Can you tell me which item it is?",1,ask_item_details
14,"customer: A carton of milk.",2,provide_item_details
14,"assistant: Thank you. I’ll issue a refund right away and also notify the store.",3,offer_solution
14,"customer: That would be good.",4,accept_solution
14,"assistant: Refund has been processed. You’ll see it back in your account soon.",5,confirm_refund
